Date,Item,Item_Link,Price,Seller,Seller_Link
Spotlight,Set of Leo Dining Chairs - polypropylene,https://sg.carousell.com/p/set-of-leo-dining-chairs-polypropylene-264943011,S$169,brayco_singapore,https://sg.carousell.com/brayco_singapore/
2 hours ago,Ceilling hook instsll,https://sg.carousell.com/p/ceilling-hook-instsll-230784946,S$50,desmondlim01238,https://sg.carousell.com/desmondlim01238/
4 hours ago,Baby High Chair/Feeding Chair - Pink,https://sg.carousell.com/p/baby-high-chair-feeding-chair-pink-280818288,S$50,xgunsxrosesx,https://sg.carousell.com/xgunsxrosesx/
5 hours ago,BLW mess free tray,https://sg.carousell.com/p/blw-mess-free-tray-280810096,S$40,joleneloke9,https://sg.carousell.com/joleneloke9/
7 hours ago,"PRE ORDER Evenflo Symmetry Flat Fold Baby Feeding High Chair
Direct from USA",https://sg.carousell.com/p/pre-order-evenflo-symmetry-flat-fold-baby-feeding-high-chair-direct-from-usa-280794967,S$145,tinylittlefrenz,https://sg.carousell.com/tinylittlefrenz/
7 hours ago,"PRE ORDER Evenflo Symmetry Flat Fold Baby Feeding High Chair
Direct from USA",https://sg.carousell.com/p/pre-order-evenflo-symmetry-flat-fold-baby-feeding-high-chair-direct-from-usa-280794253,S$145,tinylittlefrenz,https://sg.carousell.com/tinylittlefrenz/
24 hours ago,"100ML, INSTANT SANITIZER SPRAY, KILLS 99.9% OF COMMON GERMS, INCLUDING BACTERIA, VIRUSES AND FUNGI. GENTLE TO SKIN, CAN BE USED AS HAND SANITIZER, HANDRUB, SURGICAL SPIRIT. BRAND: D'SAFE",https://sg.carousell.com/p/100ml-instant-sanitizer-spray-kills-99-9-of-common-germs-including-bacteria-viruses-and-fungi-gentle-to-skin-can-be-used-as-hand-sanitizer-handrub-surgical-spirit-brand-d-safe-280670050,S$8.90,life_warrior,https://sg.carousell.com/life_warrior/
1 day ago,Baby high chair tray mat,https://sg.carousell.com/p/baby-high-chair-tray-mat-280663608,S$15,felneo,https://sg.carousell.com/felneo/
New Carouseller,High Chair Food Catcher - Food Goes Flamingos,https://sg.carousell.com/p/high-chair-food-catcher-food-goes-flamingos-278263276,S$59.90,toddlequest,https://sg.carousell.com/toddlequest/
1 day ago,BLUE BABY/INFANT ROCKER/SWINGS ROCKING CHAIR / BOUNCER,https://sg.carousell.com/p/blue-baby-infant-rocker-swings-rocking-chair-bouncer-280644492,S$40,funnyyr2000,https://sg.carousell.com/funnyyr2000/
